prodcut_id,pruduct_name,hargaa,stcok,katgori
PRD110001,Sikat Gigi Formula,6000,12,Perawatan Pribadi
PRD110002,Susu Indomilk Sachet,Rp 1.500,57,Minuman
PRD110003,Sabun Lux Mawar,4500,45,Perawatan Pribadi
PRD110004,Aqua Gelas 240ml,Rp 1.000,67,Minuman
PRD110005,Shampo Clear Sachet,Rp 1.500,77,Perawatan Pribadi
PRD110006,,,41,Perawatan Pribadi
PRD110007,Saus Sambal ABC 340ml,15000,14,Bumbu
PRD110008,Baterai Alkalin AA (2 pcs),Rp 15.000,21,Lainnya
PRD110009,Obat Nyamuk Baygon Bakar,Rp 6000,33,Lainnya
PRD110010,Rokok Marlboro Merah,38000,-95,Rokok
PRD110011,Pembersih Lantai Super Pell 770ml,Rp 13.500,,Pembersih
PRD110012,Indomie Kuah Soto,Rp 2800,29,Makanan
PRD110013,Minyak Filma 2L,34000,39,Sembako
PRD110014,Rokok Surya 16,Rp 31.000,42,Rokok
PRD110015,,Rp 1500,91,Minuman
PRD110016,Popok MamyPoko Pants M,Rp 55.000,-32,Perawatan Bayi
PRD110017,Beras Pandan Wangi 5kg, 70000 ,38,Sembako
PRD110018,Korek Api Gas Tokai,3000.00,41,
PRD110019,Sprite Botol 390ml,5000,96,Minuman
PRD110020,,Rp 3500,-37,Minuman
PRD110021,Sabun Nuvo Biru,3500,76.0,Perawatan Pribadi
PRD110022,Susu Dancow Sachet, 3500 ,100,Minuman
PRD110023,Rokok Djarum Super,Rp 22.000,80,Rokok
PRD110024,Popok MamyPoko Pants M,55000.00,-84,Perawatan Bayi
PRD110025,Kecap Bango Pouch 220ml,Rp 11000,0,Bumbu
,Sabun Cuci Piring Sunlight 460ml,11000,2.0,Pembersih
,Garam Kapal 250g,Rp 3.000,94,Bumbu
PRD110028,Kopi Kapal Api Sachet,Rp 1500,18,Minuman
PRD110029,Baterai ABC Sedang (2 pcs),,-77,Lainnya
PRD110030,Kopi ABC Susu,Rp 1.500,77,Minuman
PRD110031,Deterjen Attack Jaz1 800g,,99,Pembersih
PRD110032,Kopi Torabika Susu, 1500 ,,Minuman
PRD110033,Sabun Cuci Piring Mama Lemon 400ml,9500.00,74,
PRD110034,Beras Rojolele 5kg,Rp 67.000,69,Sembako
PRD110035,,4500,74,Perawatan Pribadi
,Tepung Tapioka Rose Brand 500g,8000,,Sembako
PRD110037,Tepung Tapioka Rose Brand 500g,8000,59,Sembako
PRD110038,Pasta Gigi Pepsodent 190g,,55,Perawatan Pribadi
PRD110039,Sabun Cuci Piring Sunlight 460ml,Rp 11000,-17,Pembersih
PRD110040,Rokok Marlboro Merah,38000.00,-99,Rokok
,Saus Sambal Indofood 340ml,,78,Bumbu
PRD110042,Korek Api Gas Tokai,Rp 3000,-86,Lainnya
PRD110043,,11000,93,Bumbu
PRD110044,Susu Dancow Sachet,3500,96,Minuman
PRD110045,Indomie Kuah Ayam Bawang,Rp 2.800,58,Makanan
PRD110046,Mie Sedap Goreng,2900.00,10,Makanan
PRD110047,Mie Sedap Goreng,2900,95,Makanan
PRD110048,Baterai Alkalin AA (2 pcs),Rp 15.000,31,Lainnya
PRD110049,Teh Sariwangi Celup,Rp 6.500,95,Minuman
PRD110050,Shampo Pantene Sachet,Rp 1500,91,Perawatan Pribadi
PRD110051,Sabun Cuci Piring Sunlight 460ml,Rp 11.000,88,Pembersih
PRD110052,Kecap Bango Pouch 220ml,Rp 11000,95,Bumbu
PRD110053,Minyak Filma 2L, 34000 ,,Sembako
PRD110054,Shampo Sunsilk Sachet,1500,97,Perawatan Pribadi
PRD110055,Tisu Paseo 250s,18500,46.0,Lainnya
PRD110056,Mie Sedap Goreng,2900.00,35,Makanan
PRD110057,Margarin Blue Band 200g,Rp 9.500,71,
