tbl_product_id,nama_lengkap_produk,harga_jual_per_unit,jumlah_stok_tersedia,kategori_produk
PRD130001,Le Minerale 600ml,Rp 3.500,73,Minuman
PRD130002,Garam Refina 250g,3500.00,16,Bumbu
PRD130003,,2800,98,Makanan
PRD130004,Aqua Gelas 240ml,Rp 1000,69,Minuman
PRD130005,Indomie Kuah Soto,2800.00,30.0,Makanan
PRD130006,Minyak Curah 1L, 16000 ,64,Sembako
PRD130007,Shampo Clear Sachet,Rp 1500,81,Perawatan Pribadi
PRD130008,Garam Kapal 250g, 3000 ,,Bumbu
PRD130009,Minyak Sania 2L,34500,-57,Sembako
PRD130010,,14500,94,Bumbu
PRD130011,Pembalut Laurier Relax Night,20000,50,Perawatan Pribadi
PRD130012,Aqua Botol 600ml,Rp 3500,34,Minuman
PRD130013,Susu Frisian Flag Sachet,1500,21,Minuman
PRD130014,Indomie Kuah Ayam Bawang,2800.00,59,Makanan
PRD130015,Garam Refina 250g,Rp 3500,86,Bumbu
PRD130016,Kopi Luwak White Koffie,Rp 2.000,66,Minuman
PRD130017,Popok Sweety Bronze Pants L,Rp 48000,,Perawatan Bayi
PRD130018,Shampo Sunsilk Sachet,1500.00,72,Perawatan Pribadi
PRD130019,Tepung Terigu Segitiga Biru 1kg,13000.00,100,Sembako
PRD130020,Sabun Cuci Piring Mama Lemon 400ml,9500,44,Pembersih
PRD130021,Bumbu Racik Indofood Nasi Goreng,Rp 2500,6,Bumbu
PRD130022,Shampo Pantene Sachet,1500,19,Perawatan Pribadi
PRD130023,Deterjen Attack Jaz1 800g,19000.00,9,Pembersih
PRD130024,Deterjen Daia 850g,,9,Pembersih
PRD130025,Tepung Terigu Segitiga Biru 1kg,13000.00,45.0,Sembako
PRD130026,Pasta Gigi Pepsodent 190g,Rp 12500,5,Perawatan Pribadi
PRD130027,Susu Bear Brand,10500.00,5.0,Minuman
PRD130028,Pasta Gigi Ciptadent 190g,Rp 10.000,3.0,Perawatan Pribadi
,Garam Kapal 250g,Rp 3000,23,Bumbu
PRD130030,Susu Indomilk Sachet,Rp 1.500,25,Minuman
PRD130031,Susu Frisian Flag Sachet,Rp 1.500,77,Minuman
PRD130032,Obat Nyamuk Hit Spray, 35000 ,56,Lainnya
PRD130033,Aqua Galon, 21000 ,39,Minuman
PRD130034,Garam Kapal 250g,Rp 3.000,7.0,Bumbu
PRD130035,Margarin Blue Band 200g,9500.00,8,Sembako
PRD130036,Susu Frisian Flag Sachet,1500,90.0,Minuman
PRD130037,Obat Nyamuk Hit Spray,Rp 35000,100,Lainnya
PRD130038,Shampo Lifebuoy Sachet,Rp 1.000,39,Perawatan Pribadi
PRD130039,Indomie Kari Ayam,Rp 2800,86,Makanan
PRD130040,Sabun Cuci Piring Mama Lemon 400ml,9500,55.0,Pembersih
PRD130041,,4000,73,
PRD130042,Gula Pasir Gulaku 1kg,16000.00,54,Sembako
PRD130043,Pembalut Laurier Relax Night,20000.00,98,Perawatan Pribadi
PRD130044,Gula Curah 1kg,Rp 15000,91,Sembako
PRD130045,Kopi Nescafe Classic,5000,87,Minuman
PRD130046,Beras Rojolele 5kg, 67000 ,,Sembako
PRD130047,Indomie Goreng,Rp 3.000,33,Makanan
PRD130048,Kecap ABC Pouch 220ml,9500,87,Bumbu
PRD130049,Tepung Tapioka Rose Brand 500g,8000.00,71,Sembako
PRD130050,Deterjen Rinso Anti Noda 700g,22000,91,Pembersih
PRD130051,Kopi Luwak White Koffie,2000,76,Minuman
PRD130052,Susu Indomilk Sachet,1500,-12,Minuman
PRD130053,Teh Sariwangi Celup, 6500 ,81,Minuman
PRD130054,Beras Rojolele 5kg,67000,-91,Sembako
PRD130055,Garam Refina 250g,3500,49,Bumbu
PRD130056,Teh Sariwangi Celup,Rp 6500,56,Minuman
PRD130057,Rokok Djarum Super,22000.00,34,Rokok
PRD130058,Pembalut Laurier Relax Night,20000.00,20,Perawatan Pribadi
PRD130059,Minyak Filma 2L,Rp 34.000,45,Sembako
PRD130060,,5000,17,Minuman
PRD130061,Kopi Torabika Susu,1500,82,Minuman
PRD130062,Bumbu Racik Indofood Sayur Asem,2500,17,Bumbu
PRD130063,Pembersih Lantai Wipol 750ml, 18000 ,,Pembersih
PRD130064,Minyak Sania 2L,Rp 34500,62,Sembako
PRD130065,Rokok Surya 16,Rp 31000,55,Rokok
PRD130066,Gula Curah 1kg, 15000 ,1,
PRD130067,Pembersih Lantai Wipol 750ml,Rp 18000,21,Pembersih
PRD130068,Garam Kapal 250g,3000,28,Bumbu
PRD130069,Beras Ramos 5kg, 65000 ,71,Sembako
PRD130070,Baterai ABC Sedang (2 pcs),10000,62,Lainnya
PRD130071,Gula Pasir Gulaku 1kg,Rp 16000,75.0,
PRD130072,Beras Rojolele 5kg,Rp 67000,48,Sembako
PRD130073,Bumbu Racik Indofood Sayur Asem,2500,-16,Bumbu
PRD130074,Sabun Lux Mawar,Rp 4500,42,Perawatan Pribadi
PRD130075,Tisu Paseo 250s,18500,,Lainnya
PRD130076,Pembalut Charm Cooling Fresh,Rp 18000,7,Perawatan Pribadi
PRD130077,Obat Nyamuk Baygon Bakar,,81,Lainnya
PRD130078,Beras Ramos 5kg,65000,90,Sembako
PRD130079,Susu Frisian Flag Sachet,1500.00,69,
PRD130080,, 2000 ,-29,Minuman
PRD130081,Beras Pandan Wangi 5kg,70000,65.0,Sembako
PRD130082,Pembalut Laurier Relax Night,Rp 20.000,85,Perawatan Pribadi
PRD130083,Pembersih Lantai Super Pell 770ml,13500.00,15,Pembersih
PRD130084,Beras Pandan Wangi 5kg,70000,46,Sembako
PRD130085,Indomie Kuah Ayam Bawang,Rp 2.800,54,Makanan
PRD130086,Margarin Forvita 200g, 7000 ,50,Sembako
PRD130087,Sabun Nuvo Biru,Rp 3500,90,
PRD130088,Obat Nyamuk Hit Spray,Rp 35000,100,
,Tepung Beras Rose Brand 500g,Rp 7500,-20,Sembako
PRD130090,Kopi Kapal Api Sachet,Rp 1.500,51,Minuman
PRD130091,Gula Pasir Gulaku 1kg,16000.00,8,Sembako
PRD130092,Pasta Gigi Ciptadent 190g,Rp 10000,-36,Perawatan Pribadi
PRD130093,Teh Celup Sosro,,28,Minuman
,,Rp 1500,-14,Perawatan Pribadi
PRD130095,Kecap Bango Pouch 220ml,11000,99,Bumbu
PRD130096,Minyak Sania 2L,34500.00,53,Sembako
PRD130097,,Rp 7.000,7,Sembako
PRD130098,Le Minerale 600ml,3500,55,
PRD130099,Pasta Gigi Pepsodent 190g,12500,6,Perawatan Pribadi
PRD130100,Tepung Beras Rose Brand 500g,Rp 7500,59,Sembako
PRD130101,Deterjen Rinso Anti Noda 700g,22000.00,42,Pembersih
PRD130102,Popok Sweety Bronze Pants L,Rp 48000,11,Perawatan Bayi
PRD130103,Susu Frisian Flag Sachet,1500,0,Minuman
PRD130104,Kopi Luwak White Koffie,2000.00,63,Minuman
PRD130105,Rokok Surya 16,31000.00,37,Rokok
PRD130106,Pembalut Charm Cooling Fresh,18000,89,Perawatan Pribadi
PRD130107,Tepung Terigu Segitiga Biru 1kg,13000.00,-29,Sembako
PRD130108,Sabun Lux Mawar,4500,38.0,Perawatan Pribadi
PRD130109,Minyak Bimoli 2L, 35000 ,-50,Sembako
PRD130110,Susu Bear Brand,10500.00,62,Minuman
PRD130111,,Rp 1.500,6,Minuman
PRD130112,Minyak Bimoli 2L, 35000 ,44.0,Sembako
PRD130113,Pasta Gigi Pepsodent 190g,12500.00,100,Perawatan Pribadi
PRD130114,,3500.00,85,Minuman
PRD130115,Susu Bear Brand,Rp 10500,19,Minuman
PRD130116,Bumbu Racik Indofood Sayur Asem,Rp 2.500,23,Bumbu
PRD130117,Minyak Curah 1L,Rp 16.000,95,Sembako
PRD130118,Indomie Goreng, 3000 ,9.0,Makanan
,Minyak Curah 1L,16000.00,45,Sembako
PRD130120,Minyak Sania 2L,,-39,Sembako
PRD130121,Sabun Cuci Piring Sunlight 460ml,11000,36,Pembersih
PRD130122,Sikat Gigi Formula, 6000 ,14,Perawatan Pribadi
PRD130123,Minyak Sania 2L, 34500 ,,Sembako
PRD130124,Fanta Merah 390ml,5000,16,Minuman
PRD130125,Tepung Beras Rose Brand 500g,Rp 7.500,99,Sembako
PRD130126,Obat Nyamuk Baygon Bakar,Rp 6.000,33,Lainnya
PRD130127,Margarin Forvita 200g,Rp 7000,16,Sembako
PRD130128,Pembersih Lantai Super Pell 770ml,13500.00,76,Pembersih
PRD130129,,,63,Bumbu
PRD130130,,22000,65,Rokok
PRD130131,Minyak Curah 1L,,-50,Sembako
,Sabun Nuvo Biru,3500.00,64,Perawatan Pribadi
PRD130133,Minyak Sania 2L,34500.00,99,Sembako
PRD130134,Bumbu Racik Indofood Nasi Goreng,Rp 2.500,69.0,Bumbu
PRD130135,Obat Nyamuk Baygon Bakar,Rp 6000,9,Lainnya
PRD130136,Kapur Barus Bagus,15000.00,95,Lainnya
PRD130137,Minyak Sania 2L,34500,68,Sembako
PRD130138,Rokok Marlboro Merah,Rp 38000,74,Rokok
PRD130139,Shampo Pantene Sachet,Rp 1.500,98,Perawatan Pribadi
PRD130140,Rokok Gudang Garam Filter,Rp 23.000,9,Rokok
PRD130141,Mie Sedap Goreng,2900,17,Makanan
PRD130142,Mie Sedap Goreng,2900,73,Makanan
PRD130143,Minyak Filma 2L,34000,24,Sembako
PRD130144,Margarin Blue Band 200g,9500,64,Sembako
PRD130145,Pembalut Charm Cooling Fresh,18000.00,93,Perawatan Pribadi
PRD130146,Kopi ABC Susu,1500,49,Minuman
PRD130147,Margarin Blue Band 200g,Rp 9500,8,Sembako
PRD130148,Rokok Surya 16,31000,23,Rokok
PRD130149,Aqua Gelas 240ml,1000,31.0,
PRD130150,Sabun Nuvo Biru, 3500 ,36,Perawatan Pribadi
PRD130151,Kopi Nescafe Classic,5000.00,54,Minuman
PRD130152,Tepung Beras Rose Brand 500g,Rp 7500,49,Sembako
PRD130153,Teh Sariwangi Celup,Rp 6500,-24,
PRD130154,Garam Refina 250g,Rp 3500,41,Bumbu
PRD130155,Teh Sariwangi Celup,6500,75,Minuman
PRD130156,Kopi Torabika Susu,Rp 1500,-67,Minuman
PRD130157,,34000.00,89,Sembako
