product_id,product_name,price,stock,category
PRD020001,Deterjen Attack Jaz1 800g,19000,-17,Pembersih
PRD020002,Pembersih Lantai Super Pell 770ml,Rp 13500,46,Pembersih
PRD020003,Sabun Lifebuoy Merah,4000,50.0,Perawatan Pribadi
PRD020004,Teh Celup Sosro,7000,22,Minuman
PRD020005,Sikat Gigi Formula,Rp 6000,28,Perawatan Pribadi
PRD020006,Teh Sariwangi Celup,6500,9,Minuman
PRD020007,Obat Nyamuk Baygon Bakar,6000,99,Lainnya
PRD020008,Minyak Sania 2L,Rp 34500,95,Sembako
PRD020009,Gula Pasir Gulaku 1kg,16000.00,94.0,Sembako
PRD020010,Kopi Kapal Api Sachet,Rp 1.500,92,Minuman
PRD020011,Kopi Nescafe Classic,5000.00,11,Minuman
PRD020012,Teh Celup Sosro, 7000 ,81,Minuman
PRD020013,Rokok Marlboro Merah,38000,27.0,Rokok
PRD020014,Kopi Nescafe Classic,5000.00,15,Minuman
PRD020015,Coca Cola Botol 390ml,5000,26,Minuman
PRD020016,Aqua Galon,21000.00,15.0,Minuman
PRD020017,Tepung Terigu Segitiga Biru 1kg,Rp 13.000,24,Sembako
PRD020018,Shampo Clear Sachet,,31,Perawatan Pribadi
PRD020019,Pasta Gigi Pepsodent 190g,12500.00,18,Perawatan Pribadi
,Sabun Lux Mawar,4500,82,Perawatan Pribadi
PRD020021,Rokok Gudang Garam Filter,23000.00,4.0,Rokok
PRD020022,Tisu Paseo 250s,18500,11,Lainnya
PRD020023,Tisu Tessa 250s,Rp 17000,24,Lainnya
PRD020024,Bumbu Racik Indofood Sayur Asem,2500.00,50,Bumbu
PRD020025,Aqua Botol 600ml,3500.00,27,Minuman
PRD020026,Baterai ABC Sedang (2 pcs),Rp 10.000,80,Lainnya
PRD020027,Garam Kapal 250g,3000,,Bumbu
PRD020028,Beras Ramos 5kg, 65000 ,42,Sembako
PRD020029,Kapur Barus Bagus,15000.00,34,Lainnya
PRD020030,Aqua Gelas 240ml, 1000 ,93,Minuman
PRD020031,Kopi ABC Susu,Rp 1500,15.0,Minuman
PRD020032,Minyak Sania 2L,34500.00,31,Sembako
PRD020033,Teh Sariwangi Celup,6500.00,-24,Minuman
PRD020034,Rokok Djarum Super,22000,89,Rokok
PRD020035,,Rp 5.000,-85,Minuman
PRD020036,Baterai ABC Sedang (2 pcs),10000.00,1,Lainnya
PRD020037,Pembersih Lantai Wipol 750ml,18000,35,Pembersih
PRD020038,Susu Bear Brand,Rp 10500,24,Minuman
PRD020039,Shampo Lifebuoy Sachet,1000.00,17,
PRD020040,Popok Sweety Bronze Pants L,48000,-97,Perawatan Bayi
PRD020041,Kecap Bango Pouch 220ml,Rp 11.000,5,Bumbu
,Pasta Gigi Ciptadent 190g,Rp 10000,-66,Perawatan Pribadi
PRD020043,Margarin Forvita 200g,7000,26,Sembako
PRD020044,Pasta Gigi Ciptadent 190g,10000,22,Perawatan Pribadi
PRD020045,Baterai Alkalin AA (2 pcs),Rp 15000,96,Lainnya
PRD020046,Bumbu Racik Indofood Sayur Asem,Rp 2.500,23,Bumbu
PRD020047,,1500,70,Perawatan Pribadi
PRD020048,Kapur Barus Bagus,Rp 15000,-51,
PRD020049,Sabun Cuci Piring Sunlight 460ml,11000,8,Pembersih
PRD020050,Pembalut Laurier Relax Night,Rp 20.000,,Perawatan Pribadi
PRD020051,Indomie Kari Ayam,Rp 2800,23,Makanan
PRD020052,Rokok Surya 16,,83,Rokok
PRD020053,Shampo Clear Sachet,1500.00,72,Perawatan Pribadi
PRD020054,Kopi ABC Susu,1500.00,14,Minuman
PRD020055,Tepung Terigu Segitiga Biru 1kg,Rp 13.000,61,Sembako
PRD020056,Pasta Gigi Pepsodent 190g,12500,-59,Perawatan Pribadi
