kode_barang,nama_produk,harga_jual,jumlah_stok,kategori
,Gula Curah 1kg,15000,63,Sembako
PRD060002,Shampo Lifebuoy Sachet,Rp 1.000,51.0,Perawatan Pribadi
PRD060003,Kopi ABC Susu,Rp 1.500,12,Minuman
PRD060004,Sabun Nuvo Biru,Rp 3500,44.0,Perawatan Pribadi
PRD060005,Sabun Lifebuoy Merah, 4000 ,87,Perawatan Pribadi
PRD060006,Beras Ramos 5kg,Rp 65.000,-77,Sembako
PRD060007,Bumbu Racik Indofood Nasi Goreng,2500,99,Bumbu
PRD060008,Minyak Sania 2L,Rp 34.500,-80,Sembako
PRD060009,Kopi Luwak White Koffie,Rp 2000,60.0,Minuman
PRD060010,Aqua Galon,21000,76.0,Minuman
PRD060011,Shampo Pantene Sachet,1500,65,Perawatan Pribadi
PRD060012,Minyak Curah 1L,16000,93,
PRD060013,Deterjen Daia 850g,Rp 18500,-20,Pembersih
PRD060014,Kopi Kapal Api Sachet, 1500 ,37,Minuman
PRD060015,Fanta Merah 390ml,5000,66,Minuman
PRD060016,Deterjen Daia 850g,Rp 18500,54,Pembersih
PRD060017,Deterjen Attack Jaz1 800g,Rp 19000,80.0,
PRD060018,Aqua Botol 600ml,Rp 3.500,67,
PRD060019,Tisu Tessa 250s,Rp 17.000,32,Lainnya
PRD060020,Indomie Kari Ayam,Rp 2800,57,Makanan
PRD060021,Shampo Lifebuoy Sachet,1000,95,Perawatan Pribadi
PRD060022,Korek Api Gas Tokai,Rp 3000,7,Lainnya
PRD060023,Kopi Torabika Susu,1500,78,Minuman
PRD060024,Mie Sedap Goreng,Rp 2900,84,Makanan
PRD060025,Teh Sariwangi Celup,Rp 6500,36,Minuman
PRD060026,Indomie Kari Ayam,Rp 2800,,Makanan
,Margarin Forvita 200g,Rp 7.000,27.0,Sembako
PRD060028,Kecap Bango Pouch 220ml,11000,38,Bumbu
PRD060029,Indomie Goreng,Rp 3.000,3,Makanan
PRD060030,,3500.00,54,Minuman
PRD060031,Susu Frisian Flag Sachet,1500.00,,Minuman
PRD060032,Fanta Merah 390ml,5000.00,-16,
PRD060033,Shampo Lifebuoy Sachet,1000.00,0,Perawatan Pribadi
PRD060034,Pasta Gigi Pepsodent 190g, 12500 ,69,Perawatan Pribadi
PRD060035,Susu Frisian Flag Sachet,1500.00,78,Minuman
PRD060036,Beras Ramos 5kg,65000,85,Sembako
,Pembersih Lantai Wipol 750ml,18000.00,26,Pembersih
PRD060038,Shampo Pantene Sachet,Rp 1500,63,Perawatan Pribadi
PRD060039,Popok MamyPoko Pants M,Rp 55000,79,Perawatan Bayi
PRD060040,, 12500 ,,Perawatan Pribadi
PRD060041,Pembalut Charm Cooling Fresh, 18000 ,60.0,Perawatan Pribadi
PRD060042,Gula Pasir Gulaku 1kg,,83,Sembako
PRD060043,Sprite Botol 390ml,,54,Minuman
PRD060044,Kopi Luwak White Koffie,Rp 2000,44,Minuman
PRD060045,Korek Api Gas Tokai, 3000 ,57.0,Lainnya
PRD060046,Beras Ramos 5kg,Rp 65000,-85,Sembako
PRD060047,Kopi Torabika Susu,Rp 1500,9,Minuman
PRD060048,Rokok Surya 16,31000.00,78,Rokok
PRD060049,,Rp 18000,97,Perawatan Pribadi
PRD060050,Popok Sweety Bronze Pants L,Rp 48.000,4.0,Perawatan Bayi
PRD060051,Tisu Paseo 250s,Rp 18500,14,Lainnya
PRD060052,Obat Nyamuk Baygon Bakar,6000,14,Lainnya
PRD060053,Coca Cola Botol 390ml,Rp 5.000,5,Minuman
PRD060054,Saus Sambal Indofood 340ml,Rp 14.500,,Bumbu
PRD060055,Susu Indomilk Sachet,Rp 1.500,1,Minuman
PRD060056,Deterjen Daia 850g, 18500 ,77,Pembersih
PRD060057,Beras Rojolele 5kg,67000,55,Sembako
PRD060058,Le Minerale 600ml,3500.00,53,Minuman
PRD060059,Minyak Sania 2L,34500.00,3,Sembako
PRD060060,Baterai ABC Sedang (2 pcs),Rp 10.000,1,Lainnya
PRD060061,Indomie Goreng,Rp 3000,90,Makanan
PRD060062,Sabun Cuci Piring Sunlight 460ml,11000,21,Pembersih
PRD060063,Rokok Djarum Super,22000,49,Rokok
PRD060064,Popok MamyPoko Pants M,55000,-86,Perawatan Bayi
PRD060065,Deterjen Attack Jaz1 800g, 19000 ,85,Pembersih
