product_id,product_name,price,stock,category
PRD030001,Pembersih Lantai Super Pell 770ml,,31,Pembersih
PRD030002,Sabun Cuci Piring Sunlight 460ml,,41,Pembersih
PRD030003,Sabun Lux Mawar,Rp 4.500,68,Perawatan Pribadi
PRD030004,Gula Curah 1kg,15000.00,1,Sembako
PRD030005,Kopi ABC Susu,Rp 1500,,Minuman
PRD030006,Indomie Kari Ayam,2800.00,-38,Makanan
PRD030007,Margarin Forvita 200g,Rp 7.000,,Sembako
PRD030008,Pembalut Laurier Relax Night, 20000 ,90.0,Perawatan Pribadi
PRD030009,Indomie Kuah Ayam Bawang,2800.00,51,Makanan
PRD030010,Susu Bear Brand,,-50,Minuman
PRD030011,Rokok Marlboro Merah,38000.00,23,Rokok
PRD030012,Coca Cola Botol 390ml, 5000 ,41,Minuman
PRD030013,Tisu Paseo 250s,18500,65,Lainnya
PRD030014,Susu Dancow Sachet,3500.00,88.0,Minuman
PRD030015,Obat Nyamuk Hit Spray,,21,Lainnya
PRD030016,Pembalut Charm Cooling Fresh,Rp 18000,67,Perawatan Pribadi
PRD030017,Le Minerale 600ml,Rp 3.500,50,Minuman
PRD030018,Teh Sariwangi Celup,6500.00,31.0,Minuman
PRD030019,Deterjen Rinso Anti Noda 700g,Rp 22.000,85.0,Pembersih
PRD030020,Pembalut Laurier Relax Night, 20000 ,8,Perawatan Pribadi
PRD030021,Indomie Kuah Ayam Bawang,Rp 2800,86,Makanan
,,,14,Minuman
PRD030023,Kopi Nescafe Classic,Rp 5.000,10.0,
PRD030024,Gula Curah 1kg,15000.00,91,Sembako
,Shampo Lifebuoy Sachet,1000.00,73,Perawatan Pribadi
PRD030026,Tepung Tapioka Rose Brand 500g,8000,27,Sembako
PRD030027,Deterjen Rinso Anti Noda 700g,22000,-63,Pembersih
PRD030028,Kecap Bango Pouch 220ml,Rp 11.000,22,Bumbu
PRD030029,Indomie Goreng,Rp 3.000,99,Makanan
PRD030030,Beras Rojolele 5kg,67000.00,57,Sembako
PRD030031,Popok Sweety Bronze Pants L,48000,42,Perawatan Bayi
PRD030032,Baterai Alkalin AA (2 pcs),Rp 15.000,90,Lainnya
PRD030033,Margarin Blue Band 200g,Rp 9500,94,Sembako
PRD030034,Shampo Pantene Sachet,1500,-10,Perawatan Pribadi
PRD030035,Tisu Tessa 250s,17000,62,Lainnya
PRD030036,Sabun Cuci Piring Mama Lemon 400ml,Rp 9.500,50,Pembersih
PRD030037,Margarin Forvita 200g, 7000 ,-65,Sembako
PRD030038,Mie Sedap Goreng,2900,60,Makanan
PRD030039,Shampo Sunsilk Sachet, 1500 ,56.0,
PRD030040,Kapur Barus Bagus,Rp 15000,-2,
PRD030041,Mie Sedap Goreng,Rp 2.900,78,Makanan
PRD030042,Coca Cola Botol 390ml,Rp 5000,19,Minuman
,Shampo Sunsilk Sachet,Rp 1500,75.0,Perawatan Pribadi
PRD030044,Tisu Paseo 250s,,94,Lainnya
PRD030045,Beras Pandan Wangi 5kg,70000.00,,Sembako
PRD030046,Indomie Goreng,3000,43,Makanan
PRD030047,Gula Curah 1kg,Rp 15.000,95,Sembako
PRD030048,Kopi ABC Susu,1500,50,Minuman
PRD030049,Shampo Lifebuoy Sachet,Rp 1.000,82,Perawatan Pribadi
PRD030050,Rokok Gudang Garam Filter,23000.00,90,Rokok
PRD030051,Bumbu Racik Indofood Sayur Asem,2500.00,16,Bumbu
PRD030052,Saus Sambal ABC 340ml,Rp 15000,82,Bumbu
PRD030053,Kopi Kapal Api Sachet,1500.00,36,Minuman
,Korek Api Gas Tokai,3000.00,34,Lainnya
PRD030055,Pasta Gigi Pepsodent 190g,12500,64,Perawatan Pribadi
PRD030056,Kopi Kapal Api Sachet,1500,36,
PRD030057,Garam Kapal 250g,3000,56,Bumbu
PRD030058,Aqua Gelas 240ml,1000,4,Minuman
PRD030059,Kopi ABC Susu,1500.00,55,Minuman
PRD030060,Sabun Lux Mawar,Rp 4.500,60,Perawatan Pribadi
PRD030061,Aqua Gelas 240ml,1000,9,Minuman
PRD030062,Susu Frisian Flag Sachet,Rp 1.500,,Minuman
PRD030063,Kopi Luwak White Koffie,Rp 2000,7,Minuman
PRD030064,Korek Api Gas Tokai,Rp 3000,6,Lainnya
PRD030065,Kopi Nescafe Classic,5000,98,Minuman
PRD030066,Shampo Clear Sachet,1500,6.0,Perawatan Pribadi
,Indomie Kari Ayam,2800.00,90,Makanan
PRD030068,Gula Pasir Gulaku 1kg,16000,40,Sembako
PRD030069,Rokok Sampoerna Mild,Rp 30.000,85,Rokok
PRD030070,,3500.00,30.0,Minuman
,Saus Sambal ABC 340ml,15000,71,Bumbu
PRD030072,Sabun Cuci Piring Mama Lemon 400ml, 9500 ,33,Pembersih
PRD030073,Beras Pandan Wangi 5kg,70000.00,,Sembako
PRD030074,Indomie Kuah Soto,,80,Makanan
PRD030075,Tepung Beras Rose Brand 500g,7500,63,Sembako
PRD030076,Susu Frisian Flag Sachet,1500,51,Minuman
PRD030077,Susu Bear Brand,Rp 10500,-57,Minuman
PRD030078,Shampo Pantene Sachet,Rp 1.500,-69,Perawatan Pribadi
,Margarin Blue Band 200g,Rp 9500,99,Sembako
PRD030080,Shampo Clear Sachet,1500.00,44,Perawatan Pribadi
PRD030081,Le Minerale 600ml,3500.00,100,Minuman
PRD030082,Sabun Nuvo Biru,Rp 3.500,2,Perawatan Pribadi
PRD030083,Minyak Filma 2L, 34000 ,68,Sembako
PRD030084,Kopi Luwak White Koffie,2000,92,Minuman
PRD030085,Kecap ABC Pouch 220ml,9500,30.0,Bumbu
PRD030086,Kecap ABC Pouch 220ml, 9500 ,-33,Bumbu
PRD030087,Popok Sweety Bronze Pants L,48000.00,54,Perawatan Bayi
PRD030088,Indomie Kari Ayam,Rp 2800,-77,Makanan
PRD030089,Aqua Gelas 240ml,Rp 1.000,97.0,Minuman
PRD030090,Pembersih Lantai Super Pell 770ml,13500,53,Pembersih
PRD030091,Gula Pasir Gulaku 1kg,16000.00,69,Sembako
PRD030092,Teh Celup Sosro,Rp 7000,86,Minuman
PRD030093,Kopi Nescafe Classic,5000,96,Minuman
PRD030094,,Rp 18.500,96,
PRD030095,Baterai Alkalin AA (2 pcs),Rp 15.000,51.0,Lainnya
PRD030096,Teh Celup Sosro,,-60,Minuman
PRD030097,,3500,38.0,Minuman
PRD030098,Shampo Sunsilk Sachet,1500,45,Perawatan Pribadi
PRD030099,Bumbu Racik Indofood Nasi Goreng,Rp 2500,27,Bumbu
PRD030100,,5000.00,46,Perawatan Pribadi
PRD030101,Tepung Beras Rose Brand 500g,7500.00,-56,Sembako
PRD030102,Kecap ABC Pouch 220ml,9500,25,Bumbu
PRD030103,Teh Celup Sosro,Rp 7.000,42,Minuman
PRD030104,Rokok Sampoerna Mild,30000.00,17,Rokok
PRD030105,Susu Dancow Sachet,Rp 3.500,85,Minuman
PRD030106,Sprite Botol 390ml,5000.00,79.0,Minuman
PRD030107,Bumbu Racik Indofood Sayur Asem,2500.00,76,Bumbu
PRD030108,Baterai Alkalin AA (2 pcs),Rp 15.000,-1,Lainnya
PRD030109,Mie Sedap Goreng,Rp 2900,-33,Makanan
,Sabun Mandi Dettol,Rp 5000,74,Perawatan Pribadi
PRD030111,Garam Refina 250g,Rp 3.500,59,Bumbu
PRD030112,Minyak Sania 2L,Rp 34.500,,Sembako
PRD030113,Kecap Bango Pouch 220ml,Rp 11.000,14.0,Bumbu
PRD030114,Rokok Surya 16,Rp 31.000,88,Rokok
PRD030115,Kapur Barus Bagus,Rp 15.000,70,Lainnya
