tbl_product_id,nama_lengkap_produk,harga_jual_per_unit,jumlah_stok_tersedia,kategori_produk
PRD150001,Beras Rojolele 5kg,67000,71,Sembako
PRD150002,Kopi Luwak White Koffie,Rp 2000,100,Minuman
PRD150003,Susu Indomilk Sachet,1500,21,Minuman
PRD150004,Kopi Nescafe Classic, 5000 ,83,Minuman
PRD150005,Minyak Bimoli 2L,Rp 35000,92,Sembako
PRD150006,Indomie Kari Ayam,Rp 2.800,93,Makanan
PRD150007,Pasta Gigi Pepsodent 190g,Rp 12500,44,Perawatan Pribadi
PRD150008,Rokok Djarum Super,22000,51.0,Rokok
,Kopi Nescafe Classic,5000.00,94,Minuman
PRD150010,Kopi Kapal Api Sachet,1500,15,Minuman
PRD150011,Kopi ABC Susu,1500,-51,Minuman
PRD150012,Baterai ABC Sedang (2 pcs),10000.00,65,
PRD150013,Garam Kapal 250g,3000.00,83,Bumbu
PRD150014,Kopi ABC Susu,1500,22,Minuman
,Beras Rojolele 5kg,67000,7,Sembako
PRD150016,Popok Sweety Bronze Pants L,Rp 48000,19,Perawatan Bayi
PRD150017,Saus Sambal Indofood 340ml,Rp 14500,61.0,Bumbu
,Deterjen Attack Jaz1 800g,Rp 19000,57,Pembersih
PRD150019,Sabun Nuvo Biru,3500.00,47,Perawatan Pribadi
PRD150020,Gula Pasir Gulaku 1kg,16000,25,Sembako
PRD150021,Pembalut Laurier Relax Night,20000,65,Perawatan Pribadi
,Susu Dancow Sachet,Rp 3500,59,Minuman
PRD150023,Fanta Merah 390ml,Rp 5.000,95,Minuman
PRD150024,Indomie Kari Ayam,2800,70,Makanan
PRD150025,Obat Nyamuk Baygon Bakar,Rp 6.000,54,Lainnya
PRD150026,Margarin Forvita 200g,7000,85,Sembako
PRD150027,Kecap ABC Pouch 220ml,Rp 9500,68,Bumbu
PRD150028,,2500,75.0,Bumbu
PRD150029,Tisu Paseo 250s,Rp 18500,57.0,Lainnya
PRD150030,Margarin Blue Band 200g,Rp 9500,83,Sembako
PRD150031,Susu Indomilk Sachet,Rp 1500,79,Minuman
PRD150032,,20000.00,19,Perawatan Pribadi
PRD150033,Tisu Tessa 250s,17000,,Lainnya
PRD150034,Garam Refina 250g,Rp 3500,80,Bumbu
PRD150035,Coca Cola Botol 390ml,5000,29,Minuman
PRD150036,,18500,90,Pembersih
PRD150037,Tisu Tessa 250s,17000,36,Lainnya
PRD150038,Garam Refina 250g,Rp 3.500,92,
PRD150039,Deterjen Rinso Anti Noda 700g,Rp 22.000,7,Pembersih
PRD150040,Aqua Botol 600ml,Rp 3500,95,Minuman
PRD150041,Minyak Sania 2L,34500,68,Sembako
PRD150042,Pembalut Laurier Relax Night,Rp 20.000,43,Perawatan Pribadi
PRD150043,Indomie Kari Ayam,Rp 2800,-68,Makanan
PRD150044,Sabun Cuci Piring Sunlight 460ml,11000.00,53,Pembersih
PRD150045,,23000.00,71,
PRD150046,Baterai ABC Sedang (2 pcs),Rp 10.000,62,Lainnya
PRD150047,Gula Curah 1kg,Rp 15.000,31,Sembako
PRD150048,Kecap Bango Pouch 220ml,11000.00,-4,Bumbu
PRD150049,Teh Pucuk Harum 350ml,,63,Minuman
PRD150050,Popok Sweety Bronze Pants L,48000,46,Perawatan Bayi
PRD150051,Indomie Kuah Ayam Bawang,Rp 2.800,66,Makanan
PRD150052,Rokok Gudang Garam Filter,Rp 23000,23,Rokok
PRD150053,Rokok Marlboro Merah,,6,Rokok
PRD150054,Fanta Merah 390ml,Rp 5000,56,Minuman
PRD150055,Tepung Beras Rose Brand 500g,Rp 7.500,86,Sembako
PRD150056,Kecap Bango Pouch 220ml,Rp 11000,-50,Bumbu
PRD150057,Pembersih Lantai Super Pell 770ml,13500,85,Pembersih
PRD150058,Sabun Lux Mawar,Rp 4.500,51,Perawatan Pribadi
PRD150059,Teh Pucuk Harum 350ml,,42,Minuman
PRD150060,Rokok Surya 16,31000,24,Rokok
PRD150061,Deterjen Daia 850g,Rp 18.500,69,
,Rokok Marlboro Merah,38000,40,
PRD150063,Korek Api Gas Tokai,Rp 3000,6,Lainnya
PRD150064,Sabun Lux Mawar,4500,21,Perawatan Pribadi
PRD150065,Garam Refina 250g,Rp 3500,-5,Bumbu
PRD150066,Kapur Barus Bagus,15000,-65,Lainnya
PRD150067,,48000,74.0,Perawatan Bayi
PRD150068,,5000.00,-20,Minuman
PRD150069,Indomie Kuah Ayam Bawang,2800,75,Makanan
PRD150070,Shampo Clear Sachet,1500.00,22.0,Perawatan Pribadi
PRD150071,Deterjen Daia 850g,Rp 18.500,89,Pembersih
PRD150072,Tepung Beras Rose Brand 500g,Rp 7500,70,Sembako
PRD150073,Sabun Nuvo Biru,3500.00,42,Perawatan Pribadi
PRD150074,Tepung Terigu Segitiga Biru 1kg,13000,-78,Sembako
PRD150075,Tisu Tessa 250s,17000.00,33,Lainnya
