kd_brg,nm_brg,hrg,jml,ktg
PRD070001,,67000,61,Sembako
PRD070002,Deterjen Rinso Anti Noda 700g,Rp 22000,15,Pembersih
PRD070003,Rokok Sampoerna Mild,30000,74,Rokok
PRD070004,Tepung Terigu Segitiga Biru 1kg,13000,50,Sembako
PRD070005,Baterai ABC Sedang (2 pcs),Rp 10000,51,Lainnya
PRD070006,,2000.00,14,Minuman
PRD070007,Margarin Blue Band 200g,9500,12,Sembako
PRD070008,,Rp 1.500,-1,Minuman
PRD070009,Teh Sariwangi Celup,Rp 6500,88,Minuman
PRD070010,Bumbu Racik Indofood Sayur Asem,Rp 2.500,-45,Bumbu
PRD070011,Tepung Beras Rose Brand 500g, 7500 ,78,Sembako
PRD070012,,3500,44.0,Minuman
PRD070013,Gula Curah 1kg,Rp 15.000,42,Sembako
PRD070014,Mie Sedap Goreng,Rp 2.900,74,Makanan
PRD070015,Rokok Sampoerna Mild,30000,32,Rokok
PRD070016,Garam Refina 250g,Rp 3.500,83,Bumbu
PRD070017,Pasta Gigi Pepsodent 190g,12500,40,Perawatan Pribadi
PRD070018,Susu Indomilk Sachet,Rp 1.500,-95,Minuman
PRD070019,Beras Rojolele 5kg,67000,40,Sembako
,Teh Pucuk Harum 350ml,4000.00,68,Minuman
PRD070021,Indomie Kuah Ayam Bawang, 2800 ,81,Makanan
PRD070022,Kopi ABC Susu,Rp 1500,,Minuman
PRD070023,Minyak Curah 1L,Rp 16000,84,
PRD070024,Aqua Botol 600ml,Rp 3.500,76,Minuman
PRD070025,Aqua Gelas 240ml,Rp 1.000,35.0,Minuman
PRD070026,Sprite Botol 390ml,Rp 5000,62,Minuman
PRD070027,Rokok Sampoerna Mild,Rp 30000,-11,Rokok
PRD070028,Aqua Gelas 240ml,,78,Minuman
PRD070029,Sabun Nuvo Biru,Rp 3.500,65,Perawatan Pribadi
PRD070030,Tepung Beras Rose Brand 500g,7500.00,77,Sembako
PRD070031,Pembalut Charm Cooling Fresh,Rp 18.000,92,Perawatan Pribadi
PRD070032,Beras Pandan Wangi 5kg, 70000 ,11,Sembako
,Minyak Sania 2L,Rp 34500,88,Sembako
PRD070034,Le Minerale 600ml,3500,43,Minuman
PRD070035,Obat Nyamuk Hit Spray,35000,64,Lainnya
PRD070036,Garam Refina 250g,Rp 3500,79.0,Bumbu
PRD070037,Pembersih Lantai Wipol 750ml,Rp 18.000,32,Pembersih
PRD070038,Pembalut Laurier Relax Night,20000.00,90,Perawatan Pribadi
PRD070039,Obat Nyamuk Hit Spray,Rp 35.000,72,Lainnya
PRD070040,,Rp 6000,100,Lainnya
PRD070041,Rokok Djarum Super,22000,19,Rokok
PRD070042,Kopi Luwak White Koffie,2000,43,Minuman
PRD070043,Indomie Kari Ayam,2800,83,Makanan
PRD070044,Mie Sedap Goreng,Rp 2900,-65,Makanan
PRD070045,Kecap Bango Pouch 220ml, 11000 ,48,Bumbu
PRD070046,Baterai Alkalin AA (2 pcs),15000.00,57,Lainnya
PRD070047,Obat Nyamuk Hit Spray,35000,68,Lainnya
PRD070048,Tepung Beras Rose Brand 500g,7500,90,Sembako
PRD070049,Sabun Lifebuoy Merah,Rp 4.000,10,Perawatan Pribadi
PRD070050,Margarin Blue Band 200g,9500,8.0,
PRD070051,Indomie Kuah Ayam Bawang,Rp 2800,-81,Makanan
PRD070052,Rokok Djarum Super, 22000 ,60,Rokok
PRD070053,Rokok Gudang Garam Filter,Rp 23000,,Rokok
PRD070054,Kopi Kapal Api Sachet,1500,29,Minuman
PRD070055,Teh Celup Sosro,7000.00,56.0,Minuman
PRD070056,Kopi ABC Susu, 1500 ,-96,Minuman
,Garam Kapal 250g,Rp 3000,46.0,Bumbu
PRD070058,Deterjen Rinso Anti Noda 700g,Rp 22.000,69,Pembersih
PRD070059,Teh Sariwangi Celup,6500,36,Minuman
PRD070060,Indomie Kuah Ayam Bawang,2800,,Makanan
PRD070061,Susu Indomilk Sachet,Rp 1.500,72,Minuman
PRD070062,Saus Sambal Indofood 340ml,14500.00,-79,Bumbu
PRD070063,Beras Rojolele 5kg,67000,26,Sembako
PRD070064,Sabun Cuci Piring Sunlight 460ml,,72,Pembersih
PRD070065,Beras Pandan Wangi 5kg,Rp 70000,-43,Sembako
PRD070066,Rokok Sampoerna Mild,30000,25,Rokok
PRD070067,Deterjen Daia 850g,18500,12,Pembersih
PRD070068,Teh Celup Sosro,,18,
PRD070069,Sikat Gigi Formula,6000,9,Perawatan Pribadi
PRD070070,Indomie Goreng,Rp 3000,7.0,Makanan
PRD070071,Kapur Barus Bagus,15000.00,65,Lainnya
PRD070072,Bumbu Racik Indofood Nasi Goreng,2500,,Bumbu
PRD070073,Pembalut Laurier Relax Night,Rp 20000,18,Perawatan Pribadi
PRD070074,Rokok Gudang Garam Filter,Rp 23.000,,Rokok
PRD070075,Deterjen Rinso Anti Noda 700g,22000,-87,Pembersih
PRD070076,Susu Bear Brand,10500.00,49,Minuman
PRD070077,Susu Bear Brand,Rp 10500,63,Minuman
PRD070078,Minyak Filma 2L,Rp 34.000,67,Sembako
,Rokok Surya 16,Rp 31.000,67.0,Rokok
PRD070080,Kecap ABC Pouch 220ml,Rp 9500,17,Bumbu
PRD070081,Coca Cola Botol 390ml, 5000 ,-13,Minuman
PRD070082,Tisu Tessa 250s,Rp 17.000,88,Lainnya
PRD070083,Kapur Barus Bagus,Rp 15000,51,Lainnya
PRD070084,Kopi Nescafe Classic,5000,85,Minuman
PRD070085,Shampo Pantene Sachet,1500,17,
PRD070086,Beras Ramos 5kg,65000,-90,Sembako
PRD070087,Deterjen Daia 850g,18500,26,Pembersih
PRD070088,Kopi ABC Susu,1500.00,76,Minuman
PRD070089,Gula Pasir Gulaku 1kg,16000.00,73,Sembako
PRD070090,Beras Pandan Wangi 5kg,70000,41,Sembako
PRD070091,Minyak Bimoli 2L,35000.00,85.0,Sembako
PRD070092,Pasta Gigi Pepsodent 190g,12500.00,36,Perawatan Pribadi
PRD070093,Aqua Galon,Rp 21000,27,Minuman
PRD070094,Bumbu Racik Indofood Nasi Goreng,2500.00,42,Bumbu
PRD070095,Tepung Terigu Segitiga Biru 1kg,13000.00,28,Sembako
PRD070096,Deterjen Daia 850g, 18500 ,2.0,Pembersih
PRD070097,Rokok Gudang Garam Filter,23000,42,Rokok
PRD070098,Pembalut Charm Cooling Fresh,18000.00,17,Perawatan Pribadi
PRD070099,Sprite Botol 390ml,Rp 5000,99,Minuman
PRD070100,Beras Pandan Wangi 5kg,,45,Sembako
PRD070101,Kapur Barus Bagus,15000.00,59,Lainnya
PRD070102,Pasta Gigi Ciptadent 190g,Rp 10.000,-46,Perawatan Pribadi
PRD070103,Susu Bear Brand,Rp 10.500,35,Minuman
PRD070104,Teh Sariwangi Celup, 6500 ,11,Minuman
PRD070105,Sabun Lux Mawar,Rp 4500,70.0,Perawatan Pribadi
PRD070106,Bumbu Racik Indofood Sayur Asem,Rp 2.500,57,Bumbu
PRD070107,Sabun Lux Mawar,4500,28.0,Perawatan Pribadi
,Susu Indomilk Sachet,Rp 1.500,68,Minuman
PRD070109,Minyak Curah 1L,16000,8,Sembako
PRD070110,Pembersih Lantai Super Pell 770ml,Rp 13500,68,Pembersih
PRD070111,Aqua Galon,Rp 21000,43,Minuman
PRD070112,Kopi ABC Susu,1500,48,Minuman
PRD070113,Rokok Djarum Super,Rp 22.000,,Rokok
PRD070114,Deterjen Daia 850g,Rp 18500,67,Pembersih
,,35000,80,Sembako
PRD070116,Sabun Nuvo Biru,Rp 3500,30,Perawatan Pribadi
PRD070117,Kecap Bango Pouch 220ml,Rp 11000,77,Bumbu
PRD070118,Indomie Kari Ayam,,96,Makanan
PRD070119,Sabun Mandi Dettol, 5000 ,38,Perawatan Pribadi
PRD070120,Pembersih Lantai Super Pell 770ml,Rp 13500,85,Pembersih
PRD070121,Sabun Cuci Piring Mama Lemon 400ml,9500,-39,Pembersih
,Beras Ramos 5kg,Rp 65000,18,Sembako
,Sabun Cuci Piring Sunlight 460ml,Rp 11000,3,Pembersih
