kode_barang,nama_produk,harga_jual,jumlah_stok,kategori
PRD050001,Indomie Kuah Soto,Rp 2.800,54,Makanan
PRD050002,Pembalut Charm Cooling Fresh,18000.00,51,Perawatan Pribadi
PRD050003,Shampo Pantene Sachet,Rp 1500,24,Perawatan Pribadi
PRD050004,Sprite Botol 390ml,5000.00,48,Minuman
PRD050005,Minyak Curah 1L,Rp 16.000,-53,Sembako
PRD050006,Minyak Bimoli 2L,Rp 35.000,85,Sembako
PRD050007,Minyak Bimoli 2L,Rp 35.000,11,Sembako
PRD050008,Rokok Surya 16,,27,Rokok
PRD050009,Pembersih Lantai Wipol 750ml,Rp 18.000,46,
PRD050010,Gula Curah 1kg,15000,24,Sembako
PRD050011,Pasta Gigi Ciptadent 190g,10000,82,Perawatan Pribadi
PRD050012,Susu Frisian Flag Sachet,Rp 1.500,92.0,Minuman
PRD050013,Shampo Pantene Sachet, 1500 ,44.0,Perawatan Pribadi
PRD050014,Rokok Surya 16,31000.00,,Rokok
PRD050015,Beras Ramos 5kg, 65000 ,-4,Sembako
PRD050016,Aqua Galon,Rp 21.000,28,Minuman
PRD050017,Minyak Curah 1L,16000.00,66,Sembako
PRD050018,Pembersih Lantai Super Pell 770ml,Rp 13.500,,Pembersih
PRD050019,Pembalut Laurier Relax Night,20000,45,Perawatan Pribadi
PRD050020,Coca Cola Botol 390ml, 5000 ,99,Minuman
PRD050021,Aqua Botol 600ml,3500,96,Minuman
PRD050022,Aqua Gelas 240ml,1000,16,Minuman
PRD050023,Kopi Torabika Susu,1500.00,0,Minuman
PRD050024,Fanta Merah 390ml,Rp 5.000,23,Minuman
PRD050025,Teh Pucuk Harum 350ml,4000,77,Minuman
PRD050026,Obat Nyamuk Hit Spray,35000.00,0.0,Lainnya
PRD050027,Shampo Pantene Sachet,Rp 1.500,1.0,Perawatan Pribadi
PRD050028,Tisu Tessa 250s,17000.00,28,Lainnya
PRD050029,Pembersih Lantai Super Pell 770ml,13500.00,46,Pembersih
PRD050030,Sabun Lux Mawar,4500,59,Perawatan Pribadi
PRD050031,Coca Cola Botol 390ml,5000.00,,Minuman
PRD050032,Deterjen Daia 850g,,85,Pembersih
PRD050033,Korek Api Gas Tokai,Rp 3000,100,Lainnya
PRD050034,Coca Cola Botol 390ml,,36,
PRD050035,Pembalut Laurier Relax Night,20000.00,72,Perawatan Pribadi
PRD050036,Baterai Alkalin AA (2 pcs),,19,Lainnya
PRD050037,Sabun Mandi Dettol,5000,12,Perawatan Pribadi
PRD050038,Beras Rojolele 5kg, 67000 ,,Sembako
PRD050039,Margarin Blue Band 200g,9500,81,Sembako
PRD050040,Sikat Gigi Formula,6000,19,Perawatan Pribadi
PRD050041,Tepung Beras Rose Brand 500g,7500,2,Sembako
PRD050042,Sabun Lifebuoy Merah, 4000 ,64,Perawatan Pribadi
PRD050043,Kecap ABC Pouch 220ml,,65,Bumbu
PRD050044,Aqua Botol 600ml,Rp 3500,87,Minuman
PRD050045,Shampo Pantene Sachet,Rp 1500,7,Perawatan Pribadi
PRD050046,,Rp 4.500,10.0,Perawatan Pribadi
,Tisu Paseo 250s,18500,40.0,Lainnya
PRD050048,Deterjen Daia 850g,18500,88,Pembersih
PRD050049,Shampo Sunsilk Sachet,1500,29,Perawatan Pribadi
PRD050050,Margarin Blue Band 200g,9500,38,Sembako
PRD050051,Rokok Djarum Super, 22000 ,28,Rokok
PRD050052,Sabun Cuci Piring Mama Lemon 400ml,9500.00,82,Pembersih
PRD050053,Susu Bear Brand,10500,48,Minuman
PRD050054,Popok Sweety Bronze Pants L,48000,89,Perawatan Bayi
PRD050055,Mie Sedap Goreng,Rp 2900,98,Makanan
PRD050056,Obat Nyamuk Hit Spray,35000.00,68,Lainnya
PRD050057,Obat Nyamuk Hit Spray,35000,68.0,Lainnya
PRD050058,Sabun Cuci Piring Sunlight 460ml,11000,69,Pembersih
PRD050059,,1500,15,Minuman
PRD050060,Sabun Lux Mawar,4500,53.0,Perawatan Pribadi
PRD050061,Gula Curah 1kg,Rp 15000,41,Sembako
PRD050062,Pasta Gigi Pepsodent 190g,12500,12.0,Perawatan Pribadi
PRD050063,Kecap ABC Pouch 220ml,9500,-67,Bumbu
PRD050064,Teh Sariwangi Celup,Rp 6500,4.0,Minuman
PRD050065,Obat Nyamuk Hit Spray,35000,96,Lainnya
,Minyak Bimoli 2L,35000.00,44,Sembako
PRD050067,Sprite Botol 390ml,5000,60,Minuman
PRD050068,Pembersih Lantai Super Pell 770ml,Rp 13.500,-71,Pembersih
PRD050069,Sabun Mandi Dettol, 5000 ,0,Perawatan Pribadi
PRD050070,Kopi Luwak White Koffie,,98,Minuman
PRD050071,Tepung Beras Rose Brand 500g,7500,23,Sembako
PRD050072,Baterai ABC Sedang (2 pcs),10000.00,47.0,Lainnya
,Susu Indomilk Sachet,1500.00,38,Minuman
PRD050074,Susu Frisian Flag Sachet,Rp 1.500,98,Minuman
PRD050075,Sabun Lux Mawar,Rp 4500,75,Perawatan Pribadi
PRD050076,Pembersih Lantai Wipol 750ml,,83.0,
PRD050077,Pembersih Lantai Wipol 750ml,Rp 18000,36,Pembersih
PRD050078,Deterjen Rinso Anti Noda 700g,Rp 22.000,3,Pembersih
PRD050079,Rokok Sampoerna Mild,30000.00,62,Rokok
PRD050080,Shampo Lifebuoy Sachet,1000.00,85,Perawatan Pribadi
PRD050081,Tisu Tessa 250s,17000.00,38,Lainnya
PRD050082,Minyak Bimoli 2L, 35000 ,82,Sembako
PRD050083,Kecap ABC Pouch 220ml,Rp 9500,17,Bumbu
PRD050084,Susu Dancow Sachet,3500.00,64,Minuman
PRD050085,Tepung Tapioka Rose Brand 500g,Rp 8.000,66,
PRD050086,Susu Indomilk Sachet,1500,30,Minuman
PRD050087,Bumbu Racik Indofood Nasi Goreng,Rp 2.500,7,Bumbu
PRD050088,Rokok Sampoerna Mild,Rp 30000,71,Rokok
,Gula Curah 1kg,15000,63,Sembako
,Teh Sariwangi Celup,Rp 6500,67,Minuman
PRD050091,Tisu Tessa 250s,Rp 17.000,-89,Lainnya
PRD050092,,7500.00,,Sembako
,Shampo Clear Sachet,1500.00,87,Perawatan Pribadi
PRD050094,Rokok Gudang Garam Filter,23000.00,69.0,Rokok
PRD050095,Teh Sariwangi Celup,6500,17,Minuman
PRD050096,Korek Api Gas Tokai,Rp 3000,73,Lainnya
PRD050097,Sabun Lifebuoy Merah,Rp 4000,51,Perawatan Pribadi
PRD050098,Mie Sedap Goreng,2900.00,40,Makanan
PRD050099,Teh Pucuk Harum 350ml,Rp 4000,99,Minuman
PRD050100,Pasta Gigi Ciptadent 190g,10000.00,69,Perawatan Pribadi
PRD050101,Sikat Gigi Formula,Rp 6.000,60,Perawatan Pribadi
PRD050102,Mie Sedap Goreng,2900,61,Makanan
PRD050103,Popok Sweety Bronze Pants L,48000,,Perawatan Bayi
PRD050104,Shampo Clear Sachet, 1500 ,38,Perawatan Pribadi
PRD050105,Susu Indomilk Sachet, 1500 ,,Minuman
PRD050106,Indomie Kuah Soto,Rp 2800,73,Makanan
PRD050107,Le Minerale 600ml,Rp 3.500,88,Minuman
PRD050108,Saus Sambal ABC 340ml, 15000 ,9,Bumbu
PRD050109,Indomie Kuah Soto,Rp 2.800,63,Makanan
PRD050110,Pembalut Charm Cooling Fresh,18000.00,29,Perawatan Pribadi
,,Rp 9500,26,Pembersih
PRD050112,Mie Sedap Goreng, 2900 ,83,Makanan
PRD050113,Aqua Gelas 240ml,1000.00,7,Minuman
PRD050114,Korek Api Gas Tokai,3000.00,49,Lainnya
PRD050115,Rokok Gudang Garam Filter,Rp 23.000,,Rokok
,Kecap ABC Pouch 220ml,Rp 9500,79,Bumbu
PRD050117,Gula Pasir Gulaku 1kg,Rp 16.000,69,Sembako
PRD050118,Kopi Kapal Api Sachet,Rp 1500,81,Minuman
PRD050119,Aqua Botol 600ml,Rp 3.500,34.0,Minuman
PRD050120,Sabun Mandi Dettol,5000,74,Perawatan Pribadi
,Tepung Tapioka Rose Brand 500g,8000,32,Sembako
PRD050122,Coca Cola Botol 390ml,Rp 5000,6,Minuman
PRD050123,Tisu Paseo 250s,Rp 18500,92,Lainnya
PRD050124,Beras Rojolele 5kg, 67000 ,18,Sembako
PRD050125,Minyak Sania 2L,34500.00,,Sembako
PRD050126,Kopi Luwak White Koffie,2000.00,47,Minuman
PRD050127,Pasta Gigi Ciptadent 190g,10000.00,40,Perawatan Pribadi
,Pembersih Lantai Wipol 750ml,Rp 18.000,56,Pembersih
,, 9500 ,15,Pembersih
PRD050130,Kecap Bango Pouch 220ml,11000.00,37,Bumbu
PRD050131,Garam Refina 250g,3500,-64,Bumbu
PRD050132,Shampo Clear Sachet,Rp 1.500,81,Perawatan Pribadi
PRD050133,Garam Refina 250g,Rp 3500,99,Bumbu
PRD050134,,Rp 38.000,85,Rokok
PRD050135,Minyak Curah 1L, 16000 ,,Sembako
PRD050136,Shampo Pantene Sachet,1500.00,37,Perawatan Pribadi
PRD050137,Kecap Bango Pouch 220ml,11000.00,-21,
PRD050138,Sabun Lux Mawar,4500,44,Perawatan Pribadi
PRD050139,Shampo Sunsilk Sachet,Rp 1.500,18,Perawatan Pribadi
PRD050140,Kopi Torabika Susu,Rp 1.500,-94,Minuman
,Rokok Sampoerna Mild,30000,44.0,Rokok
PRD050142,Aqua Gelas 240ml,Rp 1000,48,Minuman
PRD050143,Bumbu Racik Indofood Nasi Goreng,2500,86,Bumbu
PRD050144,Popok MamyPoko Pants M,55000.00,66,Perawatan Bayi
PRD050145,Saus Sambal Indofood 340ml, 14500 ,20,Bumbu
PRD050146,Indomie Kari Ayam,2800.00,76,Makanan
PRD050147,Beras Rojolele 5kg,Rp 67.000,54,Sembako
PRD050148,,5000,89,Perawatan Pribadi
PRD050149,Tepung Beras Rose Brand 500g,7500,-24,Sembako
PRD050150,Sabun Lifebuoy Merah,4000.00,-25,Perawatan Pribadi
PRD050151,Kopi ABC Susu,1500,89.0,Minuman
PRD050152,Kopi ABC Susu,Rp 1.500,-54,Minuman
PRD050153,Gula Curah 1kg, 15000 ,43,Sembako
PRD050154,Obat Nyamuk Baygon Bakar,6000.00,89,Lainnya
,Teh Pucuk Harum 350ml,4000,15,Minuman
PRD050156,Teh Sariwangi Celup, 6500 ,0,Minuman
PRD050157,Deterjen Attack Jaz1 800g,19000,-53,Pembersih
PRD050158,Popok Sweety Bronze Pants L,Rp 48.000,20.0,Perawatan Bayi
PRD050159,Kecap Bango Pouch 220ml,,-89,Bumbu
PRD050160,Kopi Luwak White Koffie,2000,,Minuman
PRD050161,Garam Refina 250g,3500,-78,Bumbu
,Shampo Pantene Sachet,1500,-41,Perawatan Pribadi
PRD050163,Susu Indomilk Sachet,Rp 1500,28,Minuman
PRD050164,Margarin Forvita 200g,Rp 7000,8,Sembako
PRD050165,Pembalut Charm Cooling Fresh,18000.00,53,Perawatan Pribadi
PRD050166,Pembersih Lantai Wipol 750ml, 18000 ,100,Pembersih
PRD050167,Saus Sambal ABC 340ml,Rp 15.000,35,Bumbu
,Rokok Sampoerna Mild,Rp 30000,56,Rokok
PRD050169,Gula Curah 1kg, 15000 ,55,Sembako
PRD050170,Indomie Kuah Ayam Bawang,Rp 2.800,25,Makanan
PRD050171,Beras Pandan Wangi 5kg,70000.00,69,Sembako
PRD050172,Susu Dancow Sachet,3500,16.0,Minuman
PRD050173,Tisu Paseo 250s,18500,-99,Lainnya
PRD050174,Kopi Nescafe Classic,5000.00,20,Minuman
PRD050175,Gula Pasir Gulaku 1kg,Rp 16000,14,Sembako
,Coca Cola Botol 390ml,Rp 5.000,39,Minuman
PRD050177,Teh Celup Sosro,Rp 7000,9,Minuman
PRD050178,Korek Api Gas Tokai,,52,Lainnya
PRD050179,Minyak Bimoli 2L,35000.00,1.0,Sembako
PRD050180,Pembersih Lantai Super Pell 770ml,13500,68,Pembersih
PRD050181,Shampo Lifebuoy Sachet,1000.00,27,Perawatan Pribadi
PRD050182,Saus Sambal Indofood 340ml,14500,62,Bumbu
PRD050183,Indomie Kuah Ayam Bawang,2800.00,62,Makanan
PRD050184,Tisu Tessa 250s,17000,31,Lainnya
PRD050185,Rokok Djarum Super,22000,19.0,
PRD050186,Teh Pucuk Harum 350ml,4000,82,Minuman
PRD050187,Teh Pucuk Harum 350ml,4000.00,48,Minuman
,Pasta Gigi Pepsodent 190g,12500,45,Perawatan Pribadi
PRD050189,Shampo Clear Sachet,1500,-31,Perawatan Pribadi
PRD050190,Bumbu Racik Indofood Nasi Goreng,Rp 2.500,88.0,Bumbu
PRD050191,Sikat Gigi Formula, 6000 ,18,
PRD050192,Sabun Cuci Piring Sunlight 460ml,11000,76,Pembersih
PRD050193,Kecap ABC Pouch 220ml,Rp 9500,92.0,
PRD050194,Rokok Gudang Garam Filter,23000.00,82.0,Rokok
PRD050195,Indomie Kari Ayam,,65,Makanan
PRD050196,Kecap ABC Pouch 220ml,,17,Bumbu
PRD050197,Obat Nyamuk Hit Spray,,66,Lainnya
PRD050198,Sabun Nuvo Biru,Rp 3500,42,Perawatan Pribadi
PRD050199,Sabun Nuvo Biru,3500,60,Perawatan Pribadi
PRD050200,Fanta Merah 390ml,Rp 5.000,3,Minuman
PRD050201,Susu Indomilk Sachet,1500.00,12,Minuman
PRD050202,Deterjen Attack Jaz1 800g,Rp 19000,-22,Pembersih
PRD050203,Teh Pucuk Harum 350ml,4000,54,Minuman
PRD050204,Rokok Gudang Garam Filter,23000,65,Rokok
PRD050205,, 35000 ,39,Lainnya
PRD050206,Tepung Terigu Segitiga Biru 1kg,13000,40,Sembako
PRD050207,Shampo Pantene Sachet,1500,,Perawatan Pribadi
PRD050208,Kopi Luwak White Koffie,2000,84,Minuman
PRD050209,Sabun Mandi Dettol,5000.00,100,Perawatan Pribadi
PRD050210,Pembalut Charm Cooling Fresh,Rp 18000,28,Perawatan Pribadi
PRD050211,Beras Pandan Wangi 5kg,Rp 70.000,41,Sembako
PRD050212,Sikat Gigi Formula,Rp 6.000,5,Perawatan Pribadi
PRD050213,Sabun Nuvo Biru,3500.00,64,Perawatan Pribadi
PRD050214,Bumbu Racik Indofood Sayur Asem,Rp 2500,15.0,Bumbu
PRD050215,Pasta Gigi Pepsodent 190g,Rp 12500,21,Perawatan Pribadi
PRD050216,Sabun Cuci Piring Mama Lemon 400ml,9500,24,Pembersih
PRD050217,Sikat Gigi Formula,6000.00,67,Perawatan Pribadi
PRD050218,Kopi ABC Susu,Rp 1500,68,Minuman
PRD050219,Teh Celup Sosro,Rp 7000,38,Minuman
PRD050220,Rokok Surya 16,31000,24,Rokok
PRD050221,Sprite Botol 390ml,5000,84,Minuman
PRD050222,Susu Indomilk Sachet,Rp 1.500,77,Minuman
PRD050223,Susu Frisian Flag Sachet,Rp 1500,,Minuman
PRD050224,Obat Nyamuk Baygon Bakar,Rp 6000,28,Lainnya
PRD050225,Obat Nyamuk Baygon Bakar,Rp 6000,-77,Lainnya
PRD050226,Sabun Lux Mawar,4500,70,Perawatan Pribadi
PRD050227,Pembalut Charm Cooling Fresh,Rp 18000,1,Perawatan Pribadi
PRD050228,Susu Bear Brand,Rp 10500,47,Minuman
PRD050229,Gula Pasir Gulaku 1kg,Rp 16.000,86,Sembako
PRD050230,Bumbu Racik Indofood Nasi Goreng,Rp 2.500,52,Bumbu
PRD050231,Beras Pandan Wangi 5kg,70000.00,59,Sembako
PRD050232,Margarin Forvita 200g,7000,64,Sembako
PRD050233,Aqua Galon,21000,-100,Minuman
PRD050234,Kecap Bango Pouch 220ml,11000.00,15,Bumbu
PRD050235,Deterjen Rinso Anti Noda 700g,,34,Pembersih
PRD050236,Susu Frisian Flag Sachet, 1500 ,29,Minuman
PRD050237,Saus Sambal Indofood 340ml,Rp 14500,22,Bumbu
PRD050238,Susu Indomilk Sachet,1500.00,-69,Minuman
,Rokok Djarum Super,Rp 22.000,78,Rokok
PRD050240,Kapur Barus Bagus,15000,86,Lainnya
PRD050241,Rokok Djarum Super,22000,84,Rokok
PRD050242,Sabun Cuci Piring Mama Lemon 400ml, 9500 ,6,Pembersih
PRD050243,Aqua Gelas 240ml,Rp 1.000,96.0,Minuman
PRD050244,Aqua Galon, 21000 ,29,Minuman
PRD050245,Bumbu Racik Indofood Sayur Asem,Rp 2.500,-14,Bumbu
PRD050246,Teh Sariwangi Celup, 6500 ,98.0,Minuman
PRD050247,Sprite Botol 390ml,Rp 5.000,-83,Minuman
PRD050248,Pembersih Lantai Wipol 750ml,18000,30,Pembersih
PRD050249,Tisu Tessa 250s,Rp 17000,68,Lainnya
PRD050250,Teh Pucuk Harum 350ml,Rp 4.000,63,Minuman
PRD050251,Fanta Merah 390ml,Rp 5000,8,Minuman
PRD050252,Kopi Nescafe Classic,5000.00,24,Minuman
PRD050253,Sabun Lux Mawar, 4500 ,-22,Perawatan Pribadi
PRD050254,Pembersih Lantai Wipol 750ml,18000,86,Pembersih
PRD050255,Baterai Alkalin AA (2 pcs),15000,76,Lainnya
PRD050256,Popok MamyPoko Pants M,55000.00,7,
PRD050257,Kopi Torabika Susu,Rp 1.500,35,Minuman
PRD050258,Beras Ramos 5kg,65000,79,Sembako
PRD050259,Kecap Bango Pouch 220ml,,44,Bumbu
PRD050260,Bumbu Racik Indofood Sayur Asem,,2,Bumbu
PRD050261,Sikat Gigi Formula,Rp 6.000,47,Perawatan Pribadi
PRD050262,Susu Bear Brand,Rp 10.500,19,Minuman
PRD050263,,Rp 38.000,42.0,Rokok
,Garam Refina 250g,3500,53,Bumbu
,Rokok Marlboro Merah,38000,83,Rokok
PRD050266,Beras Ramos 5kg,65000.00,,Sembako
PRD050267,Kopi Nescafe Classic,5000,-85,Minuman
PRD050268,,Rp 4.500,66,Perawatan Pribadi
PRD050269,Rokok Gudang Garam Filter,23000.00,47,Rokok
PRD050270,Minyak Filma 2L,Rp 34.000,63,Sembako
PRD050271,,Rp 1000,22,Perawatan Pribadi
PRD050272,,Rp 10000,54,Perawatan Pribadi
PRD050273,Indomie Goreng,3000,44,Makanan
PRD050274,Rokok Gudang Garam Filter,Rp 23.000,0,Rokok
PRD050275,Kopi Luwak White Koffie,2000.00,54,Minuman
PRD050276,Pembersih Lantai Wipol 750ml,Rp 18.000,74,Pembersih
PRD050277,Susu Frisian Flag Sachet,1500,73,Minuman
PRD050278,Susu Bear Brand,Rp 10.500,58,Minuman
PRD050279,Sabun Nuvo Biru,Rp 3.500,54,Perawatan Pribadi
PRD050280,Baterai Alkalin AA (2 pcs),15000,13,Lainnya
PRD050281,Aqua Botol 600ml,,97,Minuman
PRD050282,Gula Pasir Gulaku 1kg,16000,12,Sembako
PRD050283,Sikat Gigi Formula,Rp 6000,,Perawatan Pribadi
PRD050284,Indomie Goreng,Rp 3.000,88,Makanan
PRD050285,Pembalut Laurier Relax Night,20000.00,4,Perawatan Pribadi
PRD050286,Tepung Beras Rose Brand 500g,Rp 7.500,15,Sembako
PRD050287,Rokok Surya 16,31000,58.0,Rokok
PRD050288,Shampo Clear Sachet,1500,-83,Perawatan Pribadi
PRD050289,,3500,1,Bumbu
PRD050290,,14500.00,57,Bumbu
PRD050291,Aqua Gelas 240ml,,51.0,Minuman
PRD050292,Saus Sambal ABC 340ml,Rp 15.000,100,Bumbu
PRD050293,Beras Rojolele 5kg,67000,-46,Sembako
PRD050294,Minyak Filma 2L,34000,93,Sembako
PRD050295,Sabun Mandi Dettol,5000.00,31,Perawatan Pribadi
PRD050296,Minyak Sania 2L,Rp 34.500,38,Sembako
PRD050297,Tisu Tessa 250s,,55,Lainnya
PRD050298,Shampo Sunsilk Sachet,Rp 1500,74,Perawatan Pribadi
PRD050299,Obat Nyamuk Hit Spray,Rp 35.000,71,Lainnya
PRD050300,Kopi Torabika Susu,1500,90,Minuman
PRD050301,Tisu Tessa 250s,Rp 17.000,-34,Lainnya
,Shampo Clear Sachet,1500.00,98,Perawatan Pribadi
PRD050303,Tepung Beras Rose Brand 500g,7500,68.0,Sembako
PRD050304,Baterai ABC Sedang (2 pcs),10000,56,Lainnya
PRD050305,Indomie Goreng,Rp 3.000,27,Makanan
PRD050306,Pembersih Lantai Wipol 750ml,Rp 18.000,70,Pembersih
PRD050307,Aqua Gelas 240ml,Rp 1000,16,Minuman
PRD050308,Indomie Kuah Soto,Rp 2800,34,Makanan
PRD050309,Teh Pucuk Harum 350ml,4000.00,99,Minuman
PRD050310,,34000,22,Sembako
PRD050311,Kopi Nescafe Classic,Rp 5.000,5,Minuman
PRD050312,Bumbu Racik Indofood Nasi Goreng,2500,-64,Bumbu
PRD050313,Sabun Lifebuoy Merah, 4000 ,40,Perawatan Pribadi
PRD050314,Susu Indomilk Sachet,,,Minuman
PRD050315,Sprite Botol 390ml,5000.00,64,Minuman
PRD050316,Teh Pucuk Harum 350ml,Rp 4.000,79,Minuman
PRD050317,Aqua Gelas 240ml,1000,21,Minuman
PRD050318,Obat Nyamuk Hit Spray,35000.00,30,Lainnya
PRD050319,Rokok Surya 16,31000,19,Rokok
PRD050320,Kopi ABC Susu,1500.00,34.0,Minuman
PRD050321,Fanta Merah 390ml,Rp 5000,90,Minuman
PRD050322,Minyak Filma 2L,34000,,Sembako
PRD050323,Rokok Marlboro Merah,Rp 38000,65,Rokok
PRD050324,Teh Celup Sosro,Rp 7.000,-72,
PRD050325,Tisu Paseo 250s,Rp 18500,70,Lainnya
PRD050326,Coca Cola Botol 390ml,Rp 5000,93,Minuman
PRD050327,Margarin Blue Band 200g,Rp 9500,-22,Sembako
PRD050328,Kapur Barus Bagus,Rp 15.000,32.0,Lainnya
PRD050329,Gula Pasir Gulaku 1kg,16000.00,-24,Sembako
PRD050330,Rokok Sampoerna Mild,30000,44,Rokok
,Indomie Kari Ayam,2800.00,58,Makanan
PRD050332,Deterjen Rinso Anti Noda 700g,22000,-30,Pembersih
PRD050333,Sabun Nuvo Biru,3500.00,80.0,
PRD050334,Indomie Goreng,,30,Makanan
PRD050335,Aqua Botol 600ml,Rp 3500,67,Minuman
PRD050336,Obat Nyamuk Baygon Bakar,Rp 6000,21,Lainnya
PRD050337,Susu Dancow Sachet,3500,47,Minuman
PRD050338,Tepung Terigu Segitiga Biru 1kg,Rp 13.000,47,Sembako
PRD050339,Susu Bear Brand,Rp 10500,72.0,Minuman
PRD050340,Deterjen Attack Jaz1 800g,19000,85,Pembersih
PRD050341,Sikat Gigi Formula,6000,66,
PRD050342,Susu Bear Brand, 10500 ,-55,Minuman
PRD050343,Kecap Bango Pouch 220ml,11000,23,Bumbu
PRD050344,Susu Dancow Sachet,3500,93.0,Minuman
PRD050345,Sikat Gigi Formula,6000.00,-14,Perawatan Pribadi
PRD050346,Teh Pucuk Harum 350ml,4000,13,Minuman
PRD050347,Pembersih Lantai Super Pell 770ml,13500,81.0,Pembersih
PRD050348,Pasta Gigi Ciptadent 190g, 10000 ,87,Perawatan Pribadi
PRD050349,Sabun Mandi Dettol,5000.00,86,Perawatan Pribadi
PRD050350,Indomie Goreng,Rp 3000,7,Makanan
PRD050351,Fanta Merah 390ml,Rp 5.000,94,Minuman
PRD050352,Aqua Botol 600ml,Rp 3.500,17.0,Minuman
PRD050353,Margarin Blue Band 200g,9500.00,51,Sembako
PRD050354,Pembalut Charm Cooling Fresh,18000,1,Perawatan Pribadi
PRD050355,Bumbu Racik Indofood Sayur Asem,2500.00,99.0,Bumbu
PRD050356,Kopi Nescafe Classic,5000.00,63,Minuman
PRD050357,Pasta Gigi Pepsodent 190g,12500.00,-21,Perawatan Pribadi
PRD050358,Minyak Bimoli 2L,35000,60,Sembako
PRD050359,Tisu Tessa 250s, 17000 ,1,Lainnya
PRD050360,Kopi Luwak White Koffie,2000,99.0,Minuman
PRD050361,,Rp 2900,80,Makanan
PRD050362,Le Minerale 600ml,3500,82,
PRD050363,Deterjen Daia 850g,Rp 18.500,87,Pembersih
PRD050364,Bumbu Racik Indofood Nasi Goreng,Rp 2500,91,Bumbu
PRD050365,Minyak Filma 2L,34000,76.0,Sembako
PRD050366,Coca Cola Botol 390ml,5000.00,94,Minuman
PRD050367,Kecap ABC Pouch 220ml, 9500 ,91,Bumbu
PRD050368,Coca Cola Botol 390ml,Rp 5000,97,Minuman
PRD050369,Sabun Cuci Piring Sunlight 460ml,11000,49,Pembersih
PRD050370,Rokok Gudang Garam Filter,Rp 23000,61,
,Garam Kapal 250g,3000.00,37,Bumbu
PRD050372,Tepung Tapioka Rose Brand 500g,Rp 8000,,Sembako
